regex to match day + hour + height 
^ \| ([0-9]*) ([0-9]*) \| ([0-9]*\.[0-9]*)

Location : 46232      (32.53N 117.42W)
  Model    : spectral resolution for points
  Cycle    : 20200515 18 UTC
 +-------+-----------+-----------------+-----------------+-----------------+-----------------+-----------------+-----------------+
 | day & |  Hst  n x |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |
 |  hour |  (m)  - - |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |
 +-------+-----------+-----------------+-----------------+-----------------+-----------------+-----------------+-----------------+
 | 18 10 | 1.41  6   |   0.75  5.3 101 |   0.17 10.9   6 |   0.44 16.3 105 |   0.63 11.0 109 |   0.87 16.1  26 |   0.19 13.7 355 |
 | 18 11 | 1.40  6   |   0.71  5.2 101 |   0.18 10.9   6 |   0.46 16.0 105 |   0.65 10.9 109 |   0.87 16.0  26 |   0.18 13.6 355 |
 | 18 12 | 1.40  6   |   0.67  5.2 101 |   0.18 10.9   6 |   0.48 15.7 105 |   0.68 10.8 108 |   0.86 16.0  26 |   0.18 13.6 355 |
 | 18 13 | 1.40  8 3 |                 |   0.17 10.9   5 |   0.51 15.6 105 |   0.70 10.8 108 |   0.84 15.9  25 |   0.18 13.6 355 |
 | 18 14 | 1.41  6   |   0.60  5.0 100 |   0.17 10.9   6 |   0.53 15.5 106 |   0.73 10.7 107 |   0.86 15.8  26 |   0.17 13.5 354 |
 | 18 15 | 1.41  6   |   0.56  4.9 100 |   0.17 10.9   5 |   0.57 15.4 105 |   0.74 10.5 107 |   0.85 15.7  26 |   0.17 13.5 354 |
 | 18 16 | 1.42  7 1 |   0.53  4.9  99 |   0.17 10.8   5 |   0.59 15.3 106 |   0.76 10.4 106 |   0.85 15.7  26 |   0.17 13.5 355 |
 | 18 17 | 1.42  7 1 |   0.49  4.8  97 |   0.16 10.8   5 |   0.62 15.1 106 |   0.77 10.4 106 |   0.85 15.6  25 |   0.16 13.4 355 |
 | 18 18 | 1.43  7 1 |   0.49  4.7  98 |   0.16 10.8   5 |   0.64 14.8 106 |   0.78 10.3 106 |   0.84 15.6  25 |   0.16 13.4 355 |
 | 18 19 | 1.44  6   |   0.47  4.7  98 |   0.17 10.8   5 |   0.66 14.6 106 |   0.80 10.3 105 |   0.85 15.5  26 |   0.15 13.3 354 |
 | 18 20 | 1.44  4   |                 |   0.16 10.8   5 |   0.67 14.5 106 |   0.93 10.2 104 |   0.85 15.5  26 |                 |
 | 18 21 | 1.45  4   |                 |   0.16 10.8   4 |   0.73 14.4 106 |   0.90 10.2 103 |   0.85 15.5  26 |                 |
 | 18 22 | 1.45  4   |                 |   0.16 10.8   5 |   0.72 14.3 106 |   0.92 10.2 103 |   0.84 15.5  25 |                 |
 | 18 23 | 1.46  4   |                 |   0.16 10.7   5 |   0.75 14.1 106 |   0.91 10.2 104 |   0.84 15.5  25 |                 |
 | 19  0 | 1.48  5   | * 0.40  2.9 116 |   0.15 10.7   5 |   0.80 14.0 107 |   0.81 10.1 101 |   0.83 15.4  25 |                 |
 | 19  1 | 1.50  4   |                 |   0.15 10.5   4 |   0.78 13.8 107 |   0.96 10.2 104 |   0.83 15.4  25 |                 |
 | 19  2 | 1.52  3   |                 |                 |   0.78 13.7 107 |   0.98 10.2 105 |   0.83 15.4  25 |                 |
 | 19  3 | 1.54  3   | * 0.64  3.7 109 |                 |   1.11 13.6 105 |                 |   0.83 15.4  25 |                 |
 | 19  4 | 1.55  2   |                 |                 |   1.30 13.5 106 |                 |   0.82 15.4  25 |                 |
 | 19  5 | 1.57  3   | * 0.73  4.0 111 |                 |   1.10 13.4 105 |                 |   0.82 15.4  25 |                 |
 | 19  6 | 1.59  3   | * 0.78  4.3 112 |                 |   1.10 13.3 105 |                 |   0.82 15.4  25 |                 |
 | 19  7 | 1.61  3   | * 0.84  4.5 112 |                 |   1.09 13.2 105 |                 |   0.81 15.4  25 |                 |
 | 19  8 | 1.62  3   | * 0.87  4.7 112 |                 |   1.09 13.1 105 |                 |   0.81 15.3  25 |                 |
 | 19  9 | 1.63  2   |                 |                 |   1.40 13.0 107 |                 |   0.80 15.3  25 |                 |
 | 19 10 | 1.63  2   |                 |                 |   1.41 12.9 107 |                 |   0.80 15.2  25 |                 |
 | 19 11 | 1.64  2   |                 |                 |   1.42 12.8 107 |                 |   0.79 15.1  24 |                 |
 | 19 12 | 1.64  3   | * 0.95  5.2 111 |                 |   1.07 12.7 105 |                 |   0.78 15.0  24 |                 |
 | 19 13 | 1.66  3   |                 |   0.19 18.1   7 |   1.45 12.6 107 |                 |   0.75 14.9  25 |                 |
 | 19 14 | 1.67  4   |   1.08  5.4 108 |   0.16 18.7   4 |   0.99 12.5 106 |                 |   0.76 14.9  25 |                 |
 | 19 15 | 1.69  4   |   1.12  5.7 107 |   0.16 18.7   4 |   0.99 12.4 106 |                 |   0.75 14.9  25 |                 |
 | 19 16 | 1.70  3   |   1.16  5.8 106 |                 |   0.97 12.3 107 |                 |   0.76 14.9  24 |                 |
 | 19 17 | 1.72  3   |   1.21  6.0 106 |                 |   0.94 12.3 107 |                 |   0.76 14.9  24 |                 |
 | 19 18 | 1.74  3   |   1.25  6.1 106 |                 |   0.94 12.2 107 |                 |   0.75 15.0  24 |                 |
 | 19 19 | 1.77  3   |   1.29  6.4 105 |                 |   0.94 12.1 107 |                 |   0.75 15.0  24 |                 |
 | 19 20 | 1.82  3   |   1.38  6.6 106 |                 |   0.90 12.0 107 |                 |   0.74 15.1  24 |                 |
 | 19 21 | 1.86  3   |   1.45  6.8 106 |                 |   0.88 12.0 106 |                 |   0.74 15.1  24 |                 |
 | 19 22 | 1.89  3   |   1.50  6.8 106 |                 |   0.87 11.9 106 |                 |   0.74 15.1  24 |                 |
 | 19 23 | 1.92  3   |   1.54  6.9 106 |                 |   0.86 11.8 106 |                 |   0.73 15.2  24 |                 |
 | 20  0 | 1.93  3   |   1.58  6.9 106 |                 |   0.82 11.7 107 |                 |   0.73 15.2  24 |                 |
 | 20  1 | 1.93  3   |   1.58  6.8 106 |                 |   0.80 11.7 107 |                 |   0.72 15.2  24 |                 |
